current,laplacian,sobel,variance_intensity,entropy,composite_score
37.0,196.59382379703865,73.0305263434408,7069.858368201001,5.152641858604021,0.5871546408168274
38.0,196.2772255236686,73.0502986004361,7071.225993970008,5.147251880092426,0.5838456001371108
39.0,196.20480601718265,73.01791540171894,7071.894523778887,5.141433399052128,0.5804241469133743
40.0,195.6593884116761,73.0004539560396,7073.759653061703,5.135452115866772,0.573654587030411
41.0,195.5272240924914,73.0160570896143,7074.384300620955,5.130060552774417,0.5713447325357423
42.0,195.05246169049073,73.0240631820397,7075.038479883399,5.125064705403155,0.5651548599125898
43.0,194.99059592471667,73.03537003664152,7076.414702327945,5.120203632731877,0.564606873100208
44.0,194.6430769939313,73.11523405830803,7077.086905870087,5.11656108739695,0.5628778933002689
45.0,194.65947391686277,73.18943834822454,7077.007270878728,5.111958936472392,0.5637012936663847
46.0,194.6225403149016,73.20340505137098,7077.7309250273565,5.109019053297155,0.5634891532438155
47.0,194.3523849961781,73.2380186726401,7077.746941508596,5.1057867560821695,0.5604169445552688
48.0,194.188043462377,73.32110887355498,7079.248000114873,5.1003590586496355,0.5611397531966388
49.0,193.92201219869926,73.27369293312773,7079.733260287185,5.093353843904436,0.554349449042182
50.0,193.61063448627178,73.28747542109994,7080.37168410515,5.088681842185348,0.550286083177863
51.0,193.50574782590726,73.38653350264437,7081.553976846165,5.083370809983952,0.5518796594256937
52.0,193.17731844754496,73.42063632714583,7081.848583142693,5.078026638295217,0.5476426416116925
53.0,193.06771721398675,73.49053799716101,7082.067302915489,5.075557682902377,0.5481278070247854
54.0,193.1441951246776,73.61221959568597,7082.803758868244,5.071655624662432,0.5525366761982491
55.0,192.92593079473622,73.63635124556127,7082.888231921945,5.066653470334734,0.5490593124260735
56.0,192.59997412091585,73.62072359414847,7084.396780018157,5.059984342475048,0.5440853470141135
57.0,192.434591182272,73.68000567073499,7084.9553030606885,5.055612255395618,0.5432414193547024
58.0,192.17364230096754,73.7406442193354,7084.707109560725,5.0497932851576355,0.5398214043282491
59.0,192.31525558985706,73.802042933312,7085.461668495253,5.046668453495209,0.5432002527760013
60.0,192.02553791427584,73.89400199135191,7085.752067933897,5.042354048068882,0.5417993528183791
61.0,191.96120564037264,73.98082960168574,7085.845281789226,5.037572086646222,0.54230117091834
62.0,191.78813442612153,74.0322569642637,7086.030996591836,5.033760313232582,0.5408673924841197
63.0,191.41800335957214,74.15654471299769,7086.598594976544,5.029190137296666,0.539927359167247
64.0,191.44062578463488,74.22247194382086,7086.896216480795,5.025327128214831,0.5412880732774242
65.0,191.3610244656567,74.21200020467829,7087.23480954802,5.018644764391178,0.5377985579310697
66.0,191.12827611441105,74.33212703541093,7087.494968847874,5.0132807739626495,0.5375517316525839
67.0,190.8773256465826,74.43987790138914,7087.363429480506,5.007725228409854,0.5361198671687636
68.0,190.68024796605624,74.50363295123437,7088.593804031186,5.001220018463002,0.535050963094735
69.0,190.0999943991079,74.6001027466079,7089.371129113019,4.992874562491396,0.5295674495838153
70.0,189.90447258677332,74.6840639352991,7089.010351388354,4.984127662799633,0.5263810093664099
71.0,189.84837243890726,74.82801916742036,7089.5301180578745,4.973847286884889,0.527286656594348
72.0,189.34920406964562,74.95221757104878,7090.384085120328,4.961439723663229,0.522143683555588
73.0,188.8780855382157,75.19567239247945,7090.107148118591,4.949085281627152,0.520078348158706
74.0,188.6811848211059,75.39769275145939,7089.912984838338,4.939178165834979,0.5207031601348164
75.0,188.38442188832653,75.58678079859293,7089.481202192333,4.930029176365629,0.5197809644080483
76.0,188.3438747457493,75.82816448405515,7088.681682445728,4.923711486418102,0.5241936338134608
77.0,188.50682117569812,75.98718535216382,7088.120484495596,4.916028222461165,0.5277687597794134
78.0,188.65600339955466,76.13230007400097,7086.68432656957,4.9102594035483556,0.5304019895917147
79.0,188.86669030042333,76.24620951063247,7085.8101520530645,4.902264148906707,0.532441336631817
80.0,188.8685863727303,76.24294870511133,7084.251120522707,4.898039740721669,0.5287671150665579
81.0,188.84219073767866,76.17559231616326,7082.202640984844,4.894785178777127,0.5223485753449154
82.0,188.3991087259107,75.95234988173453,7079.528452308197,4.891877949691836,0.5052766525699279
83.0,187.87812852337365,75.72695985903299,7076.422347832708,4.889970389314335,0.4871338156763477
84.0,187.3406820445673,75.36273367163173,7072.076360388602,4.891997924885856,0.46405449142028654
85.0,186.7365854693007,75.01799484372529,7067.510604703834,4.89250876994359,0.44003694313364833
86.0,186.1373107637407,74.6756738697493,7063.507940436576,4.89182930159516,0.41637130584870463
87.0,185.6776544469367,74.26800993688988,7059.22817209268,4.891185257501295,0.3916737589812545
88.0,185.17008735901572,73.93142904749392,7054.092592776314,4.891680235650151,0.36830990898420213
89.0,184.97442099501183,73.6067995544303,7048.822079557156,4.893880863933064,0.3493415913596814
90.0,184.6778160211524,73.2448190832306,7042.821323686249,4.894252387656063,0.32633988123647245
91.0,184.27552300388345,72.94870642672457,7037.694195425411,4.893980905558052,0.3052526483096489
92.0,184.07822009618724,72.6182259326759,7031.267067137592,4.893674121208186,0.2836549168467894
93.0,183.87742487575053,72.32820973958758,7025.01321458998,4.895185370552868,0.2643522052358563
94.0,183.7568899787634,72.08563543887641,7018.752388521196,4.896820736976976,0.24762419918461992
95.0,183.6016826784591,71.85546960351073,7012.6849469526505,4.898947176785885,0.23137110772019742
96.0,183.44138428300585,71.65533586841364,7006.2261016562725,4.899751742593754,0.21509708054457666
97.0,183.23720933121342,71.41661300090858,7000.121469901654,4.89940907526277,0.19697676052782026
98.0,183.10106728291882,71.20395788231184,6993.922627887944,4.900146715217582,0.18082915784036577
99.0,182.88717403867636,70.9753017334416,6988.256104816078,4.900413707174092,0.16372626465254042
100.0,182.67166336591262,70.78428330187187,6981.87710604877,4.899936155634086,0.14674151101560604
101.0,182.68349445563686,70.63092919615723,6975.778160506311,4.901721615800599,0.1348295592503453
102.0,182.48267323578156,70.42547488993274,6970.5820165338655,4.902927673411113,0.11962227910030779
103.0,182.41547078075615,70.23451803539459,6964.513189248795,4.903272905586094,0.10499492310036668
104.0,181.9263323355092,69.99482577968583,6958.227005007174,4.901924742746335,0.08305032718682868
105.0,182.06828838226247,69.813570467259,6952.555524964797,4.900585503076077,0.07090080314586551
